title,price,sleeping_capacity,season
"NEMO
Dagger OSMO 3P Tent",$599.95,3-person,3 lbs. 13 oz.
"Zempire
Aerospeed 4 Air Tent",$500.00,4-person,3-season
"Mountain Hardwear
Nimbus UL 1 Tent",$400.00,1-person,1 lb. 11.8 oz.
"REI Co-op
Flash Air 2 Tent",$399.00,2-person,2 lbs. 6.5 oz.
"MSR
Hubba Hubba LT 2 Tent",$549.95,2-person,3 lbs.
"NEMO
Dragonfly OSMO 3P Tent",$579.95,3-person,3 lbs. 5 oz.
"REI Co-op
Flash 2 Tent",$429.00,2-person,2 lbs. 13.2 oz.
"REI Co-op
Wonderland X Tent",$999.00,4-person,3-season
"Kelty
Caboose Tent",$329.95,4-person,3-season
"Big Agnes
Wyoming Trail 4 Tent",$699.73,4-person,3-season
"Big Agnes
Fly Creek UL2 Tent",$399.95,2-person,1 lb. 14 oz.
"White Duck Outdoors
Regatta Bell FR Tent - 13'",$950.00,6-person,4-season
"White Duck Outdoors
Regatta Bell FR Tent - 10'",$750.00,3-person,4-season
"Big Agnes
Copper Spur HV UL2 Bikepack Tent",$579.95,2-person,3 lbs.
"REI Co-op
Wonderland 6 Titanium Tent",$599.00,6-person,3-season
"Zempire
Evo TL V2 Air Tent","$1,300.00",8+ people,3-season
"Coleman
PEAK1 4-Person Dome Tent",$514.95,4-person,3 - 4-season
"iKamper
BDV Duo Tent","$2,799.00",2-person,200 lbs.
"Coleman
Skylodge 6-Person Instant Tent",$202.93,6-person,3-season
"Zempire
Evo TS V2 Inflatable Air Tent",$800.00,4-person,3-season
"Big Agnes
Copper Spur Limited 3 Tent with Footprint",$649.95,3-person,3 lbs.
"Yakima
SkyRise HD Small Tent","$1,499.73",2-person,101 lbs.
"Big Agnes
Copper Spur HV UL5 Tent",$674.73,5-person,6 lbs. 14 oz.
"Big Agnes
Fly Creek UL1 Tent",$369.95,1-person,1 lb. 11 oz.
"Coleman
PEAK1 6-Person Dome Tent",$644.95,6-person,3 - 4-season
"Big Agnes
Copper Spur HV2 Expedition Tent",$449.73,2-person,4 lbs. 10 oz.
"Coleman
Skydome 8-Person Tent",$219.95,6-person,3-season
"Big Agnes
Copper Spur HV3 Expedition Tent",$524.73,3-person,5 lbs. 8 oz.
"Caddis
Rapid 6 Tent",$299.95,6-person,3-season
"Snow Peak
Land Lock Tent","$1,899.95",6-person,3-season
