title,price,sleeping_capacity,season
"Dometic
GO Compact Camp Shelter Door and Wall Kit",$69.93,2 lbs. 11 oz.,118 x 69 x 0.04 in.
"Yakima
MajorShady 270-Degree Roof-Mounted Awning - RH",$758.93,46 lbs. 8 oz.,80 sq. ft.
"Liberty Mountain
Shockcord - 1/4"" Diameter",$0.60,0.25 in.,80 sq. ft.
"MSR
Universal Footprint 2 Large",$56.95,8 ounces,82 x 51 in.
"Big Agnes
Copper Spur HV UL2 Bikepack Footprint",$90.00,9 ounces,84 x 48/38 (L x W head/foot) in.
"Nite Ize
Figure 9 Small Carabiner Rope Tightener - Single",$5.00,9 ounces,84 x 48/38 (L x W head/foot) in.
"Sea to Summit
Alto TR 2 Plus Tent",$449.00,2-person,2 lbs. 13.9 oz.
"Neso
Extra Grande Tent Poles - Package of 2",$33.95,19.5 x 3 x 3 in.,2 lbs. 3 oz.
"NEMO
Aurora Highrise 4P Footprint",$79.95,14.6 ounces,100 x 90 in.
"The North Face
Stormbreak 2 Footprint",$45.00,8.2 ounces,85 x 47.6 in.
"REI Co-op
2-Person Standard Tent Footprint",$39.95,83 x 47 in.,85 x 47.6 in.
"Hennessy Hammock
Expedition Asym Zip Hammock",$169.95,250 lbs.,85 x 47.6 in.
"Dometic
HUB 2.0 Redux Bug Mesh Kit",$104.93,2 lbs. 5 oz.,75 x 75 x 0.08 in.
"Neso
Neso Grande Sunshade - Giving Campaigns",$149.95,5 lbs. 14 oz.,84 sq. ft.
"Veer
Basecamp Shelter",$129.00,6 lbs.,16.7 sq. ft.
"Caddis
Rapid Shelter Wall - 10' x 10'",$49.95,2 lbs. 13.9 oz.,10 x 10 feet
"Neso
Ground Screw Stakes - Package of 4",$25.95,8.8 ounces,10 x 10 feet
"Geyser Systems
Replacement Scrub Sponge",$9.95,8.8 ounces,10 x 10 feet
"ENO
JungleLink Hammock System",$219.95,300 lbs.,10 x 10 feet
"Dometic
GO Compact Camp Shelter Mesh Wall Kit",$104.93,2 lbs. 6 oz.,118 x 69 x 0.04 in.
"NEMO
Hornet OSMO 2P Footprint",$69.95,6.9 ounces,85 x 51 in.
"Sea to Summit
Telos TR3 Plus Tent",$560.00,3-person,4 lbs. 9 oz.
"ENO
OneLink Hammock System",$234.95,400 lbs.,4 lbs. 9 oz.
"Coghlan's
Tent Peg - 9 in.",$0.95,1.1 ounces,4 lbs. 9 oz.
"Kammok
Dragonfly Hammock Bug Net",$79.95,9.8 ounces,126 x 57 in.
"Kelty
Daydreamer 4P Footprint",$29.95,14.4 ounces,93 x 82 in.
"Dometic
HUB 2.0 Door and Wall Kit",$69.93,2 lbs. 11 oz.,75 x 75 x 0.08 in.
"Yakima
OverNOut 180 Awning",$879.00,47 lbs. 13.6 oz.,90 sq. ft.
"Kammok
Mantis Ultralight All-in-One Hammock Tent",$299.95,300 lbs.,90 sq. ft.
"CGear Multimats
Sandlite Sand-Free Mat",$74.95 - $89.95,"78 x 61 in., 78 x 78 in.","2 lbs. 4.8 oz., 3 lbs."
"NEMO
Dagger OSMO 3P Footprint",$79.95,10.6 ounces,88 x 70 in.
"Zempire
Aerospeed 10 Air Tent Heat Shield",$130.00,1 lb. 14 oz.,88 x 70 in.
"ENO
Guardian DX Bug Net",$79.95,13 ounces,88 x 70 in.
"Mountain Hardwear
Meridian 3 Tent with Footprint",$243.73,3-person,5 lbs. 4.5 oz.
"Big Agnes
Copper Spur UL1 Footprint",$70.00,4 ounces,88 x 38/28 (L x W head/foot) in.
"Kammok
Mantis Recycled All-in-One Hammock Tent",$269.95,500 lbs.,88 x 38/28 (L x W head/foot) in.
"SOL
Heat-Reflective Poncho",$10.95,2.7 ounces,56 x 38 inches; packed: 8.25 x 6 x 4.25 in.
"Big Agnes
Tiger Wall UL2 Footprint",$70.00,5 ounces,86 x 52/42 (L x W head/foot) in.
"NEMO
Aurora Highrise 6P Footprint",$89.95,1 lb. 4 oz.,120 x 100 in.
"Mountain Hardwear
Nimbus UL 2 Tent Footprint",$60.00,6.1 ounces,84 x 50 in.
"REI Co-op
Trailmade 1 Tent Footprint",$29.95,83 x 31 in.,84 x 50 in.
"SOL
Sport Utility Poncho",$36.50,10.4 ounces,52 x 40 inches; packed: 8.75 x 8 in.
"Hennessy Hammock
Explorer Deluxe Asym Zip Hammock",$219.95,300 lbs.,52 x 40 inches; packed: 8.75 x 8 in.
"Hennessy Hammock
Ultralite Backpacker Asym Zip Hammock",$239.95,200 lbs.,52 x 40 inches; packed: 8.75 x 8 in.
"REI Co-op
Campwell 6 Footprint",$39.95,114.5 x 94.5 in.,52 x 40 inches; packed: 8.75 x 8 in.
"Mountain Hardwear
Strato UL 2 Tent",$359.73,2-person,2 lbs. 5.1 oz.
"NEMO
Dagger OSMO 2P Footprint",$69.95,7.4 ounces,88 x 50 in.
"SOL
Escape Bivy XL with Hood",$98.95,7.4 ounces,88 x 50 in.
"Exped
Widget Pump",$54.95,3.3 x 2.6 x 2.4 in.,6.7 ounces
"REI Co-op
Flash 2 Footprint",$59.95,6.4 ounces,82.5 x 46.5/36.5 (L x W head/foot) in.
"Big Agnes
Tiger Wall UL3 Footprint",$80.00,7 ounces,88 x 66/60 (L x W head/foot) in.
"Kelty
Daydreamer 6P Footprint",$34.95,1 lb. 4.8 oz.,116 x 103 in.
"ENO
SubLink Hammock Shelter System",$264.95,300 lbs.,116 x 103 in.
"Snow Peak
Land Nest Tarp Set",$389.95,14 x 12 x 7.9 feet,15 lbs. 14.4 oz.
"The North Face
Wawona Front Porch Vestibule",$138.93,4 lbs. 14 oz.,110 x 96 in.
"Hennessy Hammock
Explorer Ultralight Asym Zip Hammock",$269.95,250 lbs.,110 x 96 in.
"Neso
Sidelines Conversion Kit - Grande",$40.95,3 lbs. 12 oz.,110 x 96 in.
"NEMO
Dragonfly OSMO 2P Footprint",$69.95,7.8 ounces,88 x 50/45 (L x W head/foot) in.
"REI Co-op
Campwell 4 Footprint",$34.95,1 lb. 4.5 oz.,94.5 x 81.5 in.
"Snow Peak
Alpha Breeze Mat & Sheet Set",$286.95,Mat: 8.3 x 8.9 feet; sheet: 8.2 x 8.8 feet,5 lbs.
"SOL
Emergency Fire Blanket",$32.95,2 lbs. 4.1 oz.,70 x 47 in.
"Veer
Basecamp Bundle",$307.00,6 lbs.,16.7 sq. ft.
"MSR
Universal Footprint 3 Large",$64.95,12 ounces,83 x 69 in.
"Big Agnes
Copper Spur HV UL1 Bikepack Footprint",$80.00,6 ounces,84 x 34/24 (L x W head/foot) in.
"Coghlan's
Heavy-Duty Tent Stake - Package of 2",$9.95,13.9 ounces,84 x 34/24 (L x W head/foot) in.
"Big Agnes
Bunk House 6 Footprint",$70.00,1 lb. 9 oz.,118 x 100 in.
"REI Co-op
Half Dome 2 Plus Replacement Footprint",$44.95,10.1 ounces,86.5 x 50.5 in.
"Zempire
Aerospeed 6 Footprint HD",$100.00,2 lbs. 13 oz.,116 x 100 in.
"REI Co-op
Flash Air 2 Footprint",$49.95,6.1 ounces,82.5 x 46.5/36.5 (L x W head/foot) in.
"NEMO
Heliopolis Privacy Shelter and Shower Tent",$249.95,6.1 ounces,82.5 x 46.5/36.5 (L x W head/foot) in.
"REI Co-op
Flash Air 1 Footprint",$39.95,4.1 ounces,82.5 x 29.23/23.75 (L x W head/foot) in.
"Big Agnes
Copper Spur HV UL3 Bikepack Footprint",$100.00,11 ounces,86 x 66/58 (L x W head/foot) in.
"Snow Peak
Recta Tarp - Large",$464.95,216 x 172.8 in.,11 lbs.
"NEMO
Hornet OSMO 1P Footprint",$59.95,5.3 ounces,83 x 36/27 (L x W head/foot) in.
"Zempire
Monstapump Air Pump",$50.00,4.3 x 3.9 x 3.5 in.,1 lb. 3 oz.
"iKamper
Shoe Rack 3.0",$87.00,31 x 22.75 x 9.5 in.,1 lb. 3 oz.
"REI Co-op
Flash 3 Footprint",$69.95,9 ounces,82.5 x 64.5/58.5 (L x W head/foot) in.
"Kammok
Kuhli Pro Shelter",$199.95,4-person,1 lb. 10 oz.
"FLEXTAIL
Tiny Pump X 2024",$27.00,1.6 x 2.1 in.,1.66 ounces
"MSR
Universal Footprint 1",$48.95,5 ounces,83 x 28 in.
"REI Co-op
Half Dome SL 3+ Replacement Footprint",$49.95,84.5 x 72.5 in.,83 x 28 in.
"REI Co-op
Arete ASL 2 Footprint",$49.95,10 ounces,85 x 58 in.
"Zempire
Aerospeed 10 Footprint HD",$120.00,4 lbs. 2 oz.,150 x 126 in.
"NEMO
Dragonfly OSMO 3P Footprint",$79.95,9.6 ounces,88 x 70/65 (L x W head/foot) in.
"NEMO
Hornet OSMO 3P Footprint",$79.95,9.2 ounces,88 x 68/62 (L x W head/foot) in.
"Big Agnes
Fly Creek HV UL2 Bikepack Footprint",$75.00,7 ounces,107 x 48 x 38 in.
"Big Agnes
Copper Spur UL3 XL Footprint",$90.00,9 ounces,96 x 72 in.
"REI Co-op
Half Dome SL 2+ Replacement Footprint",$39.95,84.5 x 48.5 in.,96 x 72 in.
"REI Co-op
Half Dome 3 Replacement Footprint",$49.95,13.9 ounces,84.5 x 64.5 in.
"Coghlan's
Tent Peg - 6 in.",$0.75,0.3 ounces,84.5 x 64.5 in.
"Big Agnes
Crag Lake 3 Footprint",$70.00,9 ounces,84 x 62 in.
"NEMO
Dragonfly Bikepack OSMO 2P Footprint",$69.95,6.8 ounces,88 x 50/45 (L x W head/foot) in.
"Big Agnes
Salt Creek SL3 Footprint",$70.00,8 ounces,82 x 66 in.
"Big Agnes
Fly Creek UL2 Footprint",$75.00,5 ounces,86 x 52/42 (L x W head/foot) in.
"iKamper
Annex Plus 3.0 for Skycamp Roof-Top Tent",$935.00,28 lbs.,175 x 122 x 92 in.
"NEMO
Dragonfly OSMO 1P Footprint",$59.95,6.9 ounces,88 x 35/32 (L x W head/foot) in.
"Zempire
Aerospeed 4 Footprint HD",$80.00,2 lbs. 2 oz.,102 x 87 in.
"Big Agnes
Tiger Wall Platinum 2 Footprint",$70.00,5 ounces,86 x 52/42 (L x W head/foot) in.
"Big Agnes
Salt Creek SL2 Footprint",$60.00,5 ounces,86 x 54/42 (L x W head/foot) in.
"Thule
Anti-Condensation Mat - Large",$179.95,90.6 x 65.4 x 0.6 in.,7 lbs. 8 oz.
"Big Agnes
Crag Lake 2 Footprint",$60.00,7 ounces,82 x 48 in.
"Mountain Hardwear
Nimbus UL 1 Tent Footprint",$50.00,4.3 ounces,84 x 36 in.
"Yakima
SkyRise HD Annex",$479.00,8 lbs.,84 x 36 in.
"Snow Peak
Vault Mat and Sheet Starter Set",$169.95,4 lbs. 6.4 oz.,Mat: 112 x 86.6 in.; sheet: 112 x 82.6 in.
"Thule
Anti-Condensation Mat - Medium",$189.95,90.6 x 49.7 x 0.6 in.,6 lbs.
"Nite Ize
CamJam XT Aluminum Rope Tightener with Rope",$19.95,90.6 x 49.7 x 0.6 in.,6 lbs.
"Big Agnes
Gold Camp 3 Footprint",$50.00,1 lb.,86 x 86 in.
"NEMO
Dragonfly Bikepack OSMO 1P Footprint",$59.95,5.4 ounces,88 x 35/32 (L x W head/foot) in.
"Thule
Anti-Condensation Mat - Small",$149.95,78.7 x 41.7 x 0.6 in.,5 lbs. 4.7 oz. lbs.
"Coghlan's
ABS Tent Peg - 6""",$0.75,0.3 ounce,6 in.
"NEMO
Mayfly OSMO 2P Footprint",$69.95,6.6 ounces,85 x 51 in.
"Big Agnes
Gold Camp 5 Footprint",$60.00,1 lb. 8 oz.,109 x 109 in.
"Coghlan's
ABS Tent Peg - 9""",$0.95,0.9 ounce,109 x 109 in.
"Coghlan's
Ground Spike - 11 in.",$2.95,2.4 ounces,109 x 109 in.
"Mountain Hardwear
Trango 2 Footprint",$100.00,1 lb. 0.7 oz.,92 x 64 in.
"Big Agnes
Fly Creek UL1 Footprint",$65.00,4 ounces,86 x 38/28 (L x W head/foot) in.
"FLEXTAIL
Tiny Pump 2X",$32.00,1.8 x 2.3 in.,3.5 ounces
"Mountain Hardwear
Trango 4 Footprint",$120.00,1 lb. 6.6 oz.,96 x 94 in.
"Zempire
Aerospeed 6 Air Tent Speedbase 2 Link",$90.00,2 lbs. 12 oz.,96 x 94 in.
"NEMO
Mayfly OSMO 3P Footprint",$79.95,9 ounces,88 x 68 in.
"Zempire
Aerospeed 4 Air Tent Wall Set",$80.00,14 ounces,88 x 68 in.
"Mountain Hardwear
Trango 3 Footprint",$110.00,1 lb. 2.8 oz.,92 x 82 in.
"Zempire
Aerospeed 4 Air Tent Heat Shield",$80.00,1 lb. 3 oz.,92 x 82 in.
"Zempire
Evo TL V2 Roof Cover",$120.00,1 lb. 3 oz.,92 x 82 in.
"Zempire
Evo TL V2 Awning Wall Set",$170.00,9 lbs. 3 oz.,Packed: 26.8 x 5.5 x 5.5 in.
"Zempire
Aerospeed 6 Air Tent Heat Shield",$100.00,1 lb. 5 oz.,Packed: 26.8 x 5.5 x 5.5 in.
"Zempire
Evo TS V2 Air Tent Heat Shield",$80.00,2 lbs. 8 oz.,Packed: 26.8 x 5.5 x 5.5 in.
"NEMO
Kunai 2P Footprint",$69.95,7 ounces,82 x 50 in.
"Snow Peak
Recta Tarp Set - Large",$755.95,216 x 172.8 in.,29 lbs. 8 oz.
"Zempire
Aerospeed 10 Air Tent Speedbase 2 Link",$130.00,3 lbs. 3 oz.,29 lbs. 8 oz.
"Zempire
Aerospeed 4 Air Tent Speedbase 2 Link",$80.00,2 lbs. 7 oz.,29 lbs. 8 oz.
"Mountain Hardwear
Aspect 3 Footprint",$70.00,9.3 ounces,67 x 89 in.
"Zempire
Evo TM V2 Solid Groundsheet",$80.00,5 lbs. 10 oz.,243 x 69/112 in.
"Zempire
Evo TM/TS V2 Awning Wall Set",$140.00,8 lbs. 6 oz.,Packed: 26.8 x 5.1 x 5.1 in.
"Yakima
SkyRise SL Annex",$299.00,7 lbs. 8 oz.,Packed: 26.8 x 5.1 x 5.1 in.
"Mr. Heater
Portable Buddy Heater",$125.00,10.6 lbs.,14.25 x 9 x 15 in.
"Zempire
Aerospeed 10 Air Tent Wall Set",$100.00,1 lb. 5 oz.,14.25 x 9 x 15 in.
"Sea to Summit
Escapist Groundsheet",$59.95,5.8 ounces,87 x 47 in.
"The North Face
Trail Lite 3 Footprint",$50.00,10.2 ounces,85.8 x 59.8 in.
"Zempire
Pro TM V2 Air Tent Footprint",$100.00,6 lbs. 3 oz.,246 x 117/74 (rear/front) in.
"Mr. Heater
Little Buddy Heater",$99.00,5.85 lbs.,12 x 9.75 in.
"Zempire
Evo TL V2 Solid Groundsheet",$100.00,7 lbs. 15 oz.,291 x 84/134 in.
"Zempire
Evo TM V2 Roof Cover",$100.00,7 lbs. 15 oz.,291 x 84/134 in.
"NEMO
Kunai 3P Footprint",$79.95,11 ounces,85 x 84 in.
"Sea to Summit
Ikos TR2 BigFoot Footprint",$44.95,14.7 ounces,106.3 x 82.7 in.
"White Duck Outdoors
Regatta 10' Footprint",$70.00,3 lbs. 4 oz.,120 x 120 in.
"Zempire
Aerospeed 6 Air Tent Wall Set",$90.00,15.8 ounces,120 x 120 in.
"White Duck Outdoors
Regatta 13' Footprint",$85.00,5 lbs. 3 oz.,156 x 156 in.
"MSR
Universal Footprint 3",$56.95,11 ounces,82 x 63 in.
"Kovea
Powersense Heater",$164.95,3 lbs. 8 oz.,10 x 10 x 9 in.
"Zempire
Speedbase 2 Heat Shield Liner",$70.00,1 lb. 7 oz.,98 x 98 in.
"Sea to Summit
Telos TR2 Lightfoot Footprint",$44.95,7.8 ounces,84.5 x 53 x 43 in.
"Snow Peak
Takibi Octa Tarp",$777.95,200.4 x 177.6 in.,19 lbs. 9.6 oz.
"Mountain Hardwear
Strato UL 2 Footprint",$44.73,6.7 ounces,86 x 54/50 (L x W head/foot) in.
"Sea to Summit
Telos TR3 Lightfoot Footprint",$44.95,11.9 ounces,92.5 x 75 in.
"Sea to Summit
Alto TR2 Lightfoot Footprint",$36.95,7.8 ounces,84.5 x 53 x 38 in.
"Yakima
OverNOut 270 XL Full Wall Kit - RH",$479.00,19 lbs. 8 oz.,"3 wall panels: 237 x 90 x 0.25 inches, 122 x 90 x 0.25 inches, 253 x 90 x 0.25 in."
"Zempire
Speedbase 2 Deluxe Wall",$70.00,1 lb. 10 oz.,85 x 63 in.
"Sea to Summit
Ikos TR3 BigFoot Footprint",$51.95,1 lb. 5.2 oz.,145.7 x 86.6 in.
"Sea to Summit
Alto TR2 Bigfoot Footprint",$44.95,12.4 ounces,88.2 x 87.4 in.
"Zempire
Speedbase 2 Sleeping Pod",$280.00,3 lbs. 9.5 oz.,88.2 x 87.4 in.
"Yakima
OverNOut 270 XL Full Wall Kit - LH",$479.00,19 lbs. 8 oz.,"3 wall panels: 237 x 90 x 0.25 inches, 122 x 90 x 0.25 inches, 253 x 90 x 0.25 in."
"Sea to Summit
Alto TR1 Lightfoot Footprint",$36.95,6 ounces,89 x 44 in.
"Kovea
Cupid Heater",$124.95,3 lbs.,10.5 x 7 x 5.5 in.
"Yakima
OverNOut 180 Wall Kit",$379.00,14 lbs. 8 oz.,Individual wall panel: 137 x 90 x 0.25 inches; total: 411 x 90 x 0.25 in.
